Antriebsart,Fahrzeugklasse,Listenpreis UVP (EUR),Verbrauch WLTP,Einheit,CO2 WLTP (g/km),Hubraum (cm3),Batterie netto (kWh),Wartung EUR/Jahr,Anmerkung
BEV,Kleinwagen,30240,14.9,kWh/100 km,0,0,49,302,"Klassenschätzung, kein Herstellerwert"
BEV,Klein-SUV,35700,16.1,kWh/100 km,0,0,53,357,"Klassenschätzung, kein Herstellerwert"
BEV,Kompaktklasse,42000,17.5,kWh/100 km,0,0,58,420,"Klassenschätzung, kein Herstellerwert (Referenzklasse der Schätzung)"
BEV,Kompakt-SUV,46200,18.6,kWh/100 km,0,0,61,462,"Klassenschätzung, kein Herstellerwert"
BEV,Mittelklasse,53760,20.1,kWh/100 km,0,0,67,538,"Klassenschätzung, kein Herstellerwert"
BEV,Mittelklasse-SUV,57960,21.4,kWh/100 km,0,0,71,580,"Klassenschätzung, kein Herstellerwert"
Benzin,Kleinwagen,24840,5.8,l/100 km,135,999,,490,"Klassenschätzung, kein Herstellerwert"
Benzin,Klein-SUV,29325,6.3,l/100 km,147,999,,578,"Klassenschätzung, kein Herstellerwert"
Benzin,Kompaktklasse,34500,6.8,l/100 km,158,1498,,680,"Klassenschätzung, kein Herstellerwert (Referenzklasse der Schätzung)"
Benzin,Kompakt-SUV,37950,7.2,l/100 km,168,1498,,748,"Klassenschätzung, kein Herstellerwert"
Benzin,Mittelklasse,44160,7.8,l/100 km,182,1498,,870,"Klassenschätzung, kein Herstellerwert"
Benzin,Mittelklasse-SUV,47610,8.3,l/100 km,193,1498,,938,"Klassenschätzung, kein Herstellerwert"
Diesel,Kleinwagen,26784,4.6,l/100 km,122,1968,,533,"Klassenschätzung, kein Herstellerwert"
Diesel,Klein-SUV,31620,5.0,l/100 km,132,1968,,629,"Klassenschätzung, kein Herstellerwert"
Diesel,Kompaktklasse,37200,5.4,l/100 km,143,1968,,740,"Klassenschätzung, kein Herstellerwert (Referenzklasse der Schätzung)"
Diesel,Kompakt-SUV,40920,5.7,l/100 km,151,1968,,814,"Klassenschätzung, kein Herstellerwert"
Diesel,Mittelklasse,47616,6.2,l/100 km,164,1968,,947,"Klassenschätzung, kein Herstellerwert"
Diesel,Mittelklasse-SUV,51336,6.6,l/100 km,175,1968,,1021,"Klassenschätzung, kein Herstellerwert"
Hybrid,Kleinwagen,30096,3.6,l/100 km,84,1498,,547,"Klassenschätzung, kein Herstellerwert"
Hybrid,Klein-SUV,35530,3.9,l/100 km,91,1498,,646,"Klassenschätzung, kein Herstellerwert"
Hybrid,Kompaktklasse,41800,4.2,l/100 km,98,1498,,760,"Klassenschätzung, kein Herstellerwert (Referenzklasse der Schätzung)"
Hybrid,Kompakt-SUV,45980,4.5,l/100 km,105,1498,,836,"Klassenschätzung, kein Herstellerwert"
Hybrid,Mittelklasse,53504,4.8,l/100 km,112,1498,,973,"Klassenschätzung, kein Herstellerwert"
Hybrid,Mittelklasse-SUV,57684,5.1,l/100 km,119,1498,,1049,"Klassenschätzung, kein Herstellerwert"
FCEV,Kleinwagen,68000,0.95,kg H2/100 km,0,0,,690,"Klassenunabhängiger Richtwert, kein Serienmodell im Konzern"
FCEV,Klein-SUV,68000,0.95,kg H2/100 km,0,0,,690,"Klassenunabhängiger Richtwert, kein Serienmodell im Konzern"
FCEV,Kompaktklasse,68000,0.95,kg H2/100 km,0,0,,690,"Klassenunabhängiger Richtwert, kein Serienmodell im Konzern"
FCEV,Kompakt-SUV,68000,0.95,kg H2/100 km,0,0,,690,"Klassenunabhängiger Richtwert, kein Serienmodell im Konzern"
FCEV,Mittelklasse,68000,0.95,kg H2/100 km,0,0,,690,"Klassenunabhängiger Richtwert, kein Serienmodell im Konzern"
FCEV,Mittelklasse-SUV,68000,0.95,kg H2/100 km,0,0,,690,"Klassenunabhängiger Richtwert, kein Serienmodell im Konzern"
"Methodik: UVP/Verbrauch/Wartung je Antriebsart auf Basis der Kompaktklasse-Referenzwerte (siehe tco-rechner-prototyp.jsx, dort als Beispieldaten deklariert) mit Klassenfaktor skaliert (Kleinwagen ×0,72 / ×0,85 Verbrauch; Klein-SUV ×0,85 / ×0,92; Kompaktklasse ×1,00; Kompakt-SUV ×1,10 / ×1,06; Mittelklasse ×1,28 / ×1,15; Mittelklasse-SUV ×1,38 / ×1,22). CO2 WLTP (g/km) rechnerisch aus Verbrauch mit Standard-Emissionsfaktor (Benzin 2,33 kg/l, Diesel 2,65 kg/l) abgeleitet, keine offizielle Herstellerangabe. Hubraum je Antriebsart als typisches Konzernaggregat gesetzt (1,0 TSI/999 cm³ Kleinwagen/Klein-SUV-Benziner, 1,5 TSI(eTSI)/1498 cm³ übrige Benziner und Hybrid, 2,0 TDI/1968 cm³ Diesel). Alle Werte sind redaktionelle Platzhalter für Fahrzeuge/Klassen ohne recherchierte Modelldaten und vor Livegang durch Herstellerangaben zu ersetzen — siehe fahrzeuge.csv Status-Spalte.",,,,,,,,
